id,commun,sujet_perso,verbale,nominale,part_motif,adverbe_neg,weight,info,coupable,victime,genre,nombre
1,{ .circo = s(à son domicile|dans un accident d’avion|d’une intoxication au monoxyde de dihydrogène|d’une overdose de chloroquine|d’une overdose de Xanogen et de Nitro XL) },,"{ .est(mort{ .sujet.es },mourir) } { .circo }","{ .s_comp(la ,mort) }",,,10,1,,sujet,F,S
2,,,{ .etre } retrouvé{ .sujet.es } mort{ .sujet.es },"{ .s_comp(la ,mort) }",,,10,1,,sujet,F,S
3,,,"{ .est(mort{ .sujet.es }, mourir) } noyer( la fin dune grande aventure putain { .sujet.vocatif } { .sujet.n(tetais,vous etais) } comme { .sujet.gn(un frere,une soeur,des freres,des seurs)} adieu salope{ .sujet.s })?","{ .s_comp(la ,noyade) }",,,5,1,,sujet,F,S
4,,,"{ .est(mort{ .sujet.es }, mourir) } puce{ .sujet.gn(au,lle,aux,lles) }","{ .s_comp(la ,mort) }",,,1,1,,sujet,F,S
5,,,"{ .a(fraudé,frauder,fraude,fraudes,fraude,fraudons,fraudez,fraudent) } le fisc","{ .s_comp(la ,fraude fiscale) }",,,10,2,sujet,,F,S
6,,,"{ .a(fraudé,frauder,fraude,fraudes,fraude,fraudons,fraudez,fraudent) } les impôts","{ .s_comp(la ,fraude fiscale) }",,,10,2,sujet,,F,S
7,,,"{ .a(commis,commettre,commets,commets,commet,commettons,commettez,commettent) } de la fraude fiscale","{ .s_comp(la ,fraude fiscale) }",,,10,2,sujet,,F,S
8,,,{ .etre } élu{ .sujet.es } Président{ .sujet.es } de la République( française)? face { .objet.coi_explicite },{ .sujet.comp(l’élection) } à la tête du pays { .objet.coi_explicite },,,10,3,,,F,S
9,,,{ .etre } élu{ .sujet.es } à la tête de l’État face { .objet.coi_explicite },{ .sujet.comp(l’élection) } à la tête de l’État { .objet.coi_explicite },,,10,3,,,F,S
10,,,"{ .est(devenu{ .sujet.gn(,e,s,es) },devenir,deviens,deviens,devient,devenons,devenez,deviennent) } { .sujet.le } nouve{ .sujet.gn(au,lle,aux,lles) } Président{ .sujet.es } de la République( française)? { .objet.coi_explicite }",{ .sujet.comp(l’élection) } à la tête du pays { .objet.coi_explicite },,,10,3,,,F,S
13,,,{ .etre } placé{ .sujet.es } en garde à vue,{ .sujet.comp(le placement) } en garde à vue,{ .pour_motif },,10,4,,sujet,M,S
14,,,"{ .etre } arrêté{ .sujet.es } pour { .info.motif.val(temps: infinitif_passe, coupable: { action14sujet ||= .sujet } action14sujet) }",{ .sujet.comp(l’arrestation) },,,10,4,,sujet,F,S
15,{ .prison = s(10|20|30|50); .sursis = s(2|5|8|10) },,{ .etre } condamné{ .sujet.es } à { .prison } ans de prison dont { .sursis } avec sursis,{ .sujet.comp(la condamnation) } à { .prison } ans de prison dont { .sursis } avec sursis,{ .pour_motif },,10,4,,sujet,F,S
16,,,{ .est(activement recherché{ .sujet.es }) } par Interpol,{ .sujet.comp(la recherche) } par Interpol,{ .pour_motif },,10,4,,sujet,F,S
17,,,{ .etre } tué{ .sujet.es },{ .sujet.comp(l’assassinat) },,,10,5,,sujet,M,S
18,,,"{ .sujet.se({ .est(fait{ .sujet.es },faire,fais,fais,fait,faisons,faisez,font) }) } planter",{ .sujet.comp(le plantage) },,,5,5,,sujet,M,S
21,,,"{ .objet.cod({ .a(assassiné,assassiner,assassine,assassines,assassine,assassinons,assassinez,assassinent) }) }",{ .objet.comp(l’assassinat) }{ .s( par { .sujet.tonique }) },,,10,7,sujet,objet,M,S
23,,,"{ .objet.cod({ .a(planté,planter,plante,plantes,plante,plantons,plantez,plantent) }) }",{ .objet.comp(le plantage) }{ .s( par { .sujet.tonique }) },,,10,7,sujet,objet,M,S
24,,,"{ .a(planté,planter,plante,plantes,plante,plantons,plantez,plantent) } un mec",le plantage d’un mec{ .s( par { .sujet.tonique }) },,,10,8,sujet,,M,S
30,{ .nomme_par = s(( par { `.objet ||= .info.acteur`.tonique })?) },,"{ .etre } nommé{ .sujet.es } Premi{ .sujet.gn(er,ère,ers,ères) } Ministre{ .sujet.s }{ .nomme_par }",{ .sujet.comp(la nomination) } à la tête du gouvernement{ .nomme_par },,,10,13,,,F,S
31,,,"{ .objet.cod({ .a(nommé,nommer,nomme,nommes,nomme,nommons,nommez,nomment) }) } Premi{ .objet.gn(er,ère,ers,ères) } Ministre{ .sujet.s }",{ .objet.comp(la nomination) } à la tête du gouvernement{ .s( par { .sujet.tonique }) },,,10,14,,,F,S
32,,,"{ .a(décidé,décider,décide,décides,décide,décidons,décidez,décident) } de dissoudre l’Assemblée Nationale",la dissolution de l’Assemblée Nationale{ .s( par { .sujet.tonique }) },,,10,15,sujet,,F,S
